,,
Rank,County,Population
1,Miami-Dade County,"2,716,940"
2,Broward County,"1,952,778"
3,Palm Beach County,"1,496,770"
4,Hillsborough County,"1,471,968"
5,Orange County,"1,393,452"
6,Pinellas County,"974,996"
7,Duval County,"957,755"
8,Lee County,"770,577"
9,Polk County,"724,777"
10,Brevard County,"601,942"
11,Pasco County,"553,947"
12,Volusia County,"553,284"
13,Seminole County,"471,826"
14,Sarasota County,"433,742"
15,Manatee County,"403,253"
16,Collier County,"384,902"
17,Osceola County,"375,751"
18,Lake County,"367,118"
19,Marion County,"365,579"
20,St. Lucie County,"328,297"
21,Escambia County,"318,316"
22,Leon County,"293,582"
23,Alachua County,"269,043"
24,St. Johns County,"264,672"
25,Clay County,"219,252"
26,Okaloosa County,"210,738"
27,Hernando County,"193,920"
28,Charlotte County,"188,910"
29,Santa Rosa County,"184,313"
30,Bay County,"174,705"
31,Martin County,"161,000"
32,Indian River County,"159,923"
33,Citrus County,"149,657"
34,Sumter County,"132,420"
35,Flagler County,"115,081"
36,Highlands County,"106,221"
37,Nassau County,"88,625"
38,Putnam County,"74,521"
39,Monroe County,"74,228"
40,Walton County,"74,071"
41,Columbia County,"71,686"
42,Jackson County,"46,414"
43,Gadsden County,"45,660"
44,Suwannee County,"44,417"
45,Okeechobee County,"42,168"
46,Hendry County,"42,022"
47,Levy County,"41,503"
48,DeSoto County,"38,001"
49,Wakulla County,"33,739"
50,Baker County,"29,210"
51,Bradford County,"28,201"
52,Hardee County,"26,937"
53,Washington County,"25,473"
54,Taylor County,"21,569"
55,Holmes County,"19,617"
56,Gilchrist County,"18,582"
57,Madison County,"18,493"
58,Dixie County,"16,826"
59,Union County,"15,237"
60,Hamilton County,"14,428"
61,Jefferson County,"14,246"
62,Calhoun County,"14,105"
63,Glades County,"13,811"
64,Gulf County,"13,639"
65,Franklin County,"12,125"
66,Lafayette County,"8,422"
67,Liberty County,"8,354"
